tokens,ner_tags
"['architectmade', 'hans', 'bolling', 'oscar']","['O', 'O', 'O', 'O']"
"['architectmade', 'hans', 'bolling', 'discus', 'large', 'grey']","['O', 'O', 'O', 'O', 'O', 'O']"
"['ainsley', 'table', 'lamp', 'black']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['addison', 'table', 'lamp', 'white']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['architectmade', 'hans', 'bolling', 'bobby']","['O', 'O', 'O', 'O']"
"['bonne', 'daybed', 'frame']","['O', 'O', 'O']"
"['brooking', 'dining', 'table']","['O', 'O', 'B-PRODUCT']"
"['woodlawn', 'teak', 'table']","['O', 'O', 'B-PRODUCT']"
"['club', 'bar', 'table']","['O', 'O', 'B-PRODUCT']"
"['lakeshore', 'teak', 'dining', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['cahaba', 'console']","['O', 'B-PRODUCT']"
"['taylor', 'chair']","['O', 'B-PRODUCT']"
"['sterling', 'chair']","['O', 'B-PRODUCT']"
"['quinn', 'chair']","['O', 'B-PRODUCT']"
"['hawthorne', 'chair']","['O', 'B-PRODUCT']"
"['verona', 'chair']","['O', 'B-PRODUCT']"
"['lawson', 'chair']","['O', 'B-PRODUCT']"
"['lowe', 'chair']","['O', 'B-PRODUCT']"
"['criss', 'cross', 'back', 'dining', 'chair']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['batavia', 'high', 'back', 'dining', 'chair']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['gramercy', 'chair']","['O', 'B-PRODUCT']"
"['chester', 'dining', 'chair']","['O', 'O', 'B-PRODUCT']"
"['fremont', 'chair']","['O', 'B-PRODUCT']"
"['irving', 'chair']","['O', 'B-PRODUCT']"
"['batavia', 'high', 'back', 'carver', 'dining', 'chair']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['cooper', 'chair']","['O', 'B-PRODUCT']"
"['chester', 'carver', 'dining', 'chair']","['O', 'O', 'O', 'B-PRODUCT']"
"['gracie', 'chair']","['O', 'B-PRODUCT']"
"['criss', 'cross', 'back', 'carver', 'dining', 'chair']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['carlisle', 'chair']","['O', 'B-PRODUCT']"
"['burnside', 'chair']","['O', 'B-PRODUCT']"
"['bel', 'air', 'chair']","['O', 'O', 'B-PRODUCT']"
"['catalina', 'chair']","['O', 'B-PRODUCT']"
"['belmont', 'chair']","['O', 'B-PRODUCT']"
"['charlie', 'chair']","['O', 'B-PRODUCT']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['profile', 'dining', 'chair', 'oak', 'copenhagen', 'grey']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['enclose', 'wall', 'shelf', 'cm', 'oak']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['mimic', 'side', 'table', 'black', 'marble']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['salang', 'print', 'cm', 'x', 'cm']","['O', 'O', 'O', 'O', 'O']"
"['dumpling', 'lhf', 'chaise', 'sofa', 'silex', 'denim']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['cluster', 'dining', 'chair', 'tan', 'leather']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['rj', 'living', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['charles', 'pfister']","['O', 'O']"
"['daniel', 'stromborg']","['O', 'O']"
"['richard', 'sapper']","['O', 'O']"
"['shelton', 'mindel']","['O', 'O']"
"['charles', 'pollock']","['O', 'O']"
"['jonathan', 'olivares']","['O', 'O']"
"['george', 'nakashima']","['O', 'O']"
"['isamu', 'noguchi']","['O', 'O']"
"['marc', 'newson']","['O', 'O']"
"['ross', 'lovegrove']","['O', 'O']"
"['formway', 'design']","['O', 'O']"
['jehslaub'],['O']
"['maya', 'lin']","['O', 'O']"
"['dan', 'grabowski']","['O', 'O']"
"['frank', 'gehry']","['O', 'O']"
"['marcel', 'breuer']","['O', 'O']"
"['alexander', 'girard']","['O', 'O']"
"['antenna', 'design']","['O', 'O']"
"['lewis', 'butler']","['O', 'O']"
"['don', 'chadwick']","['O', 'O']"
"['richard', 'schultz']","['O', 'O']"
"['eero', 'saarinen']","['O', 'O']"
"['jens', 'risom']","['O', 'O']"
"['ludwig', 'mies', 'van', 'der', 'rohe']","['O', 'O', 'O', 'O', 'O']"
"['piero', 'lissoni']","['O', 'O']"
"['marc', 'krusin']","['O', 'O']"
"['harry', 'bertoia']","['O', 'O']"
"['edward', 'barber', 'and', 'jay', 'osgerby']","['O', 'O', 'O', 'O', 'O']"
"['david', 'adjaye']","['O', 'O']"
"['organization', 'accent']","['O', 'O']"
"['ini', 'archibong']","['O', 'O']"
"['communication', 'boards']","['O', 'O']"
"['monitor', 'arms', 'technology', 'support']","['O', 'O', 'O', 'O']"
"['screens', 'space', 'dividers']","['O', 'O', 'O']"
['architectural'],['O']
"['david', 'rockwell']","['O', 'O']"
"['interior', 'architecture']","['O', 'O']"
"['technology', 'distribution']","['O', 'O']"
"['open', 'plan']","['O', 'O']"
"['private', 'office']","['O', 'O']"
"['side', 'coffee', 'tables']","['O', 'O', 'O']"
"['outdoor', 'tables']","['O', 'O']"
